thickness,k,n_trees,min_node_size,max_depth,beta,fold,auc,auc_avg,auc_std
50,5,200,0.5%,2,0.5,4,0.9488585591316223,0.9509896039962769,0.003412102349102497
50,5,200,0.5%,2,0.6,0,0.9611628651618958,0.9560412168502808,0.005137327127158642
50,5,200,0.5%,2,0.6,1,0.9497119784355164,0.9560412168502808,0.005137327127158642
50,5,200,0.5%,2,0.6,2,0.954596996307373,0.9560412168502808,0.005137327127158642
50,5,200,0.5%,2,0.6,3,0.9614704847335815,0.9560412168502808,0.005137327127158642
50,5,200,0.5%,2,0.6,4,0.9532635807991028,0.9560412168502808,0.005137327127158642
50,5,200,0.5%,2,0.7,0,0.9604743123054504,0.9608391523361206,0.003022383898496628
50,5,200,0.5%,2,0.7,1,0.9590006470680237,0.9608391523361206,0.003022383898496628
50,5,200,0.5%,2,0.7,2,0.9629162549972534,0.9608391523361206,0.003022383898496628
50,5,200,0.5%,2,0.7,3,0.9646906852722168,0.9608391523361206,0.003022383898496628
50,5,200,0.5%,2,0.7,4,0.9571139216423035,0.9608391523361206,0.003022383898496628
50,5,200,0.5%,2,0.8,0,0.963206946849823,0.9628580212593079,0.004924269393086433
50,5,200,0.5%,2,0.8,1,0.9637662172317505,0.9628580212593079,0.004924269393086433
50,5,200,0.5%,2,0.8,2,0.9658635854721069,0.9628580212593079,0.004924269393086433
50,5,200,0.5%,2,0.8,3,0.9669690132141113,0.9628580212593079,0.004924269393086433
50,5,200,0.5%,2,0.8,4,0.9544846415519714,0.9628580212593079,0.004924269393086433
50,5,200,0.5%,2,0.9,0,0.9681132435798645,0.9659522771835327,0.0024770074523985386
50,5,200,0.5%,2,0.9,1,0.9636749625205994,0.9659522771835327,0.0024770074523985386
50,5,200,0.5%,2,0.9,2,0.9672803282737732,0.9659522771835327,0.0024770074523985386
50,5,200,0.5%,2,0.9,3,0.9678150415420532,0.9659522771835327,0.0024770074523985386
50,5,200,0.5%,2,0.9,4,0.9628777503967285,0.9659522771835327,0.0024770074523985386
50,5,400,0.5%,2,0.1,0,0.9530124068260193,0.9514431953430176,0.0020357442554086447
50,5,400,0.5%,2,0.1,1,0.9494524002075195,0.9514431953430176,0.0020357442554086447
50,5,400,0.5%,2,0.1,2,0.9512159824371338,0.9514431953430176,0.0020357442554086447
50,5,400,0.5%,2,0.1,3,0.9539912939071655,0.9514431953430176,0.0020357442554086447
50,5,400,0.5%,2,0.1,4,0.9495440125465393,0.9514431953430176,0.0020357442554086447
50,5,400,0.5%,2,0.2,0,0.9523941278457642,0.9523071050643921,0.0020717401057481766
50,5,400,0.5%,2,0.2,1,0.9498158097267151,0.9523071050643921,0.0020717401057481766
50,5,400,0.5%,2,0.2,2,0.9526753425598145,0.9523071050643921,0.0020717401057481766
50,5,400,0.5%,2,0.2,3,0.9554162621498108,0.9523071050643921,0.0020717401057481766
50,5,400,0.5%,2,0.2,4,0.9512338638305664,0.9523071050643921,0.0020717401057481766
50,5,400,0.5%,2,0.3,0,0.9592516422271729,0.9551159739494324,0.0034587366972118616
50,5,400,0.5%,2,0.3,1,0.951261579990387,0.9551159739494324,0.0034587366972118616
50,5,400,0.5%,2,0.3,2,0.9557114839553833,0.9551159739494324,0.0034587366972118616
50,5,400,0.5%,2,0.3,3,0.9574300646781921,0.9551159739494324,0.0034587366972118616
50,5,400,0.5%,2,0.3,4,0.9519250988960266,0.9551159739494324,0.0034587366972118616
50,5,400,0.5%,2,0.4,0,0.9605963230133057,0.95823734998703,0.0025689450558274984
50,5,400,0.5%,2,0.4,1,0.9575902819633484,0.95823734998703,0.0025689450558274984
50,5,400,0.5%,2,0.4,2,0.9598245620727539,0.95823734998703,0.0025689450558274984
50,5,400,0.5%,2,0.4,3,0.9590831995010376,0.95823734998703,0.0025689450558274984
50,5,400,0.5%,2,0.4,4,0.9540925025939941,0.95823734998703,0.0025689450558274984
50,5,400,0.5%,2,0.5,0,0.9616066813468933,0.9627056121826172,0.0036191970575600863
50,5,400,0.5%,2,0.5,1,0.9624755382537842,0.9627056121826172,0.0036191970575600863
50,5,400,0.5%,2,0.5,2,0.9653350114822388,0.9627056121826172,0.0036191970575600863
50,5,400,0.5%,2,0.5,3,0.966712474822998,0.9627056121826172,0.0036191970575600863
50,5,400,0.5%,2,0.5,4,0.957398533821106,0.9627056121826172,0.0036191970575600863
50,5,400,0.5%,2,0.6,0,0.965232789516449,0.9657236933708191,0.003857480827718973
50,5,400,0.5%,2,0.6,1,0.9656779170036316,0.9657236933708191,0.003857480827718973
50,5,400,0.5%,2,0.6,2,0.9666357040405273,0.9657236933708191,0.003857480827718973
50,5,400,0.5%,2,0.6,3,0.9709386825561523,0.9657236933708191,0.003857480827718973
50,5,400,0.5%,2,0.6,4,0.9601335525512695,0.9657236933708191,0.003857480827718973
50,5,400,0.5%,2,0.7,0,0.9674906134605408,0.9669699668884277,0.0016278303228318691
50,5,400,0.5%,2,0.7,1,0.9680284261703491,0.9669699668884277,0.0016278303228318691
50,5,400,0.5%,2,0.7,2,0.966920793056488,0.9669699668884277,0.0016278303228318691
50,5,400,0.5%,2,0.7,3,0.9682092666625977,0.9669699668884277,0.0016278303228318691
50,5,400,0.5%,2,0.7,4,0.9642005562782288,0.9669699668884277,0.0016278303228318691
50,5,400,0.5%,2,0.8,0,0.9686298966407776,0.9682356715202332,0.0032385278027504683
50,5,400,0.5%,2,0.8,1,0.9679765105247498,0.9682356715202332,0.0032385278027504683
50,5,400,0.5%,2,0.8,2,0.9694015383720398,0.9682356715202332,0.0032385278027504683
50,5,400,0.5%,2,0.8,3,0.9720306992530823,0.9682356715202332,0.0032385278027504683
50,5,400,0.5%,2,0.8,4,0.9631397724151611,0.9682356715202332,0.0032385278027504683
50,5,400,0.5%,2,0.9,0,0.9723426699638367,0.9704337120056152,0.002441874472424388
50,5,400,0.5%,2,0.9,1,0.9685906171798706,0.9704337120056152,0.002441874472424388
50,5,400,0.5%,2,0.9,2,0.9702502489089966,0.9704337120056152,0.002441874472424388
50,5,400,0.5%,2,0.9,3,0.9733883142471313,0.9704337120056152,0.002441874472424388
50,5,400,0.5%,2,0.9,4,0.9675970673561096,0.9704337120056152,0.002441874472424388
50,5,600,0.5%,2,0.1,0,0.953384518623352,0.9519858360290527,0.0020455948542803526
50,5,600,0.5%,2,0.1,1,0.9497202634811401,0.9519858360290527,0.0020455948542803526
50,5,600,0.5%,2,0.1,2,0.9518119096755981,0.9519858360290527,0.0020455948542803526
50,5,600,0.5%,2,0.1,3,0.9546365737915039,0.9519858360290527,0.0020455948542803526
50,5,600,0.5%,2,0.1,4,0.9503758549690247,0.9519858360290527,0.0020455948542803526
50,5,600,0.5%,2,0.2,0,0.9567644596099854,0.9539011120796204,0.00288672698661685
50,5,600,0.5%,2,0.2,1,0.9502635598182678,0.9539011120796204,0.00288672698661685
50,5,600,0.5%,2,0.2,2,0.9552362561225891,0.9539011120796204,0.00288672698661685
50,5,600,0.5%,2,0.2,3,0.9558523893356323,0.9539011120796204,0.00288672698661685
50,5,600,0.5%,2,0.2,4,0.9513887166976929,0.9539011120796204,0.00288672698661685
50,5,600,0.5%,2,0.3,0,0.9626702666282654,0.959691047668457,0.004352978430688381
50,5,600,0.5%,2,0.3,1,0.9585906267166138,0.959691047668457,0.004352978430688381
50,5,600,0.5%,2,0.3,2,0.958886981010437,0.959691047668457,0.004352978430688381
50,5,600,0.5%,2,0.3,3,0.9648317098617554,0.959691047668457,0.004352978430688381
50,5,600,0.5%,2,0.3,4,0.9534754157066345,0.959691047668457,0.004352978430688381
50,5,600,0.5%,2,0.4,0,0.9622027277946472,0.9656367301940918,0.0029563489370048046
50,5,600,0.5%,2,0.4,1,0.9666174054145813,0.9656367301940918,0.0029563489370048046
50,5,600,0.5%,2,0.4,2,0.9671618342399597,0.9656367301940918,0.0029563489370048046
50,5,600,0.5%,2,0.4,3,0.9692192673683167,0.9656367301940918,0.0029563489370048046
50,5,600,0.5%,2,0.4,4,0.9629824161529541,0.9656367301940918,0.0029563489370048046
50,5,600,0.5%,2,0.5,0,0.9644128680229187,0.9652928113937378,0.004297884181141853
50,5,600,0.5%,2,0.5,1,0.9649804830551147,0.9652928113937378,0.004297884181141853
50,5,600,0.5%,2,0.5,2,0.9669501781463623,0.9652928113937378,0.004297884181141853
50,5,600,0.5%,2,0.5,3,0.9709831476211548,0.9652928113937378,0.004297884181141853
50,5,600,0.5%,2,0.5,4,0.9591374397277832,0.9652928113937378,0.004297884181141853
50,5,600,0.5%,2,0.6,0,0.9697258472442627,0.9679611325263977,0.003676298540085554
50,5,600,0.5%,2,0.6,1,0.9669960141181946,0.9679611325263977,0.003676298540085554
50,5,600,0.5%,2,0.6,2,0.9694466590881348,0.9679611325263977,0.003676298540085554
