thickness_mu,n_trees,min_node_size,split,beta,max_depth,train_auc,eval_auc,run_dir,log_path
400,800,1.5,50_50,_5,3,0.982,0.966,results/800-1_5-50_50-_5-3,results/800-1_5-50_50-_5-3/400_evaluation.log
50,800,1.5,50_50,_5,3,0.984,0.97,results/800-1_5-50_50-_5-3,results/800-1_5-50_50-_5-3/50_evaluation.log
75,800,1.5,50_50,_5,3,0.985,0.978,results/800-1_5-50_50-_5-3,results/800-1_5-50_50-_5-3/75_evaluation.log
100,800,2.0,50_50,_5,3,0.986,0.982,results/800-2-50_50-_5-3,results/800-2-50_50-_5-3/100_evaluation.log
200,800,2.0,50_50,_5,3,0.987,0.982,results/800-2-50_50-_5-3,results/800-2-50_50-_5-3/200_evaluation.log
400,800,2.0,50_50,_5,3,0.979,0.964,results/800-2-50_50-_5-3,results/800-2-50_50-_5-3/400_evaluation.log
50,800,2.0,50_50,_5,3,0.984,0.97,results/800-2-50_50-_5-3,results/800-2-50_50-_5-3/50_evaluation.log
75,800,2.0,50_50,_5,3,0.987,0.978,results/800-2-50_50-_5-3,results/800-2-50_50-_5-3/75_evaluation.log
100,800,2.5,50_50,_5,3,0.987,0.983,results/800-2_5-50_50-_5-3,results/800-2_5-50_50-_5-3/100_evaluation.log
200,800,2.5,50_50,_5,3,0.988,0.982,results/800-2_5-50_50-_5-3,results/800-2_5-50_50-_5-3/200_evaluation.log
400,800,2.5,50_50,_5,3,0.981,0.963,results/800-2_5-50_50-_5-3,results/800-2_5-50_50-_5-3/400_evaluation.log
50,800,2.5,50_50,_5,3,0.985,0.97,results/800-2_5-50_50-_5-3,results/800-2_5-50_50-_5-3/50_evaluation.log
75,800,2.5,50_50,_5,3,0.986,0.976,results/800-2_5-50_50-_5-3,results/800-2_5-50_50-_5-3/75_evaluation.log
100,800,3.0,50_50,_5,10,0.992,0.985,results/800-3-50_50-_5-10,results/800-3-50_50-_5-10/100_evaluation.log
200,800,3.0,50_50,_5,10,0.994,0.988,results/800-3-50_50-_5-10,results/800-3-50_50-_5-10/200_evaluation.log
400,800,3.0,50_50,_5,10,0.99,0.97,results/800-3-50_50-_5-10,results/800-3-50_50-_5-10/400_evaluation.log
50,800,3.0,50_50,_5,10,0.991,0.971,results/800-3-50_50-_5-10,results/800-3-50_50-_5-10/50_evaluation.log
75,800,3.0,50_50,_5,10,0.993,0.98,results/800-3-50_50-_5-10,results/800-3-50_50-_5-10/75_evaluation.log
100,800,3.0,50_50,_5,11,0.993,0.985,results/800-3-50_50-_5-11,results/800-3-50_50-_5-11/100_evaluation.log
200,800,3.0,50_50,_5,11,0.994,0.988,results/800-3-50_50-_5-11,results/800-3-50_50-_5-11/200_evaluation.log
400,800,3.0,50_50,_5,11,0.991,0.971,results/800-3-50_50-_5-11,results/800-3-50_50-_5-11/400_evaluation.log
50,800,3.0,50_50,_5,11,0.991,0.971,results/800-3-50_50-_5-11,results/800-3-50_50-_5-11/50_evaluation.log
75,800,3.0,50_50,_5,11,0.993,0.98,results/800-3-50_50-_5-11,results/800-3-50_50-_5-11/75_evaluation.log
100,800,3.0,50_50,_5,12,0.993,0.985,results/800-3-50_50-_5-12,results/800-3-50_50-_5-12/100_evaluation.log
200,800,3.0,50_50,_5,12,0.994,0.989,results/800-3-50_50-_5-12,results/800-3-50_50-_5-12/200_evaluation.log
400,800,3.0,50_50,_5,12,0.991,0.972,results/800-3-50_50-_5-12,results/800-3-50_50-_5-12/400_evaluation.log
